hcp_id,doctor_first_name,doctor_last_name,hco_id,territory_id,as_of_date,specialty_primary,subspecialty,practice_setting,years_in_practice,hco_type,hco_size_bucket,hospital_affiliation_flag,kol_flag,degree_centrality,betweenness_centrality,closeness_centrality,peer_adoption_rate_90d,spillover_potential_index,distance_km_from_homebase,drive_time_minutes,morning_window_allowed_flag,afternoon_window_allowed_flag,clinic_saturday_open_flag,parking_difficulty_score
HCP2028,Emily,Anderson,HCO3613,US-FL-SE,2025-10-29,Cardiology,Adult Psych,Hospital Outpatient,27,Clinic,1-3,1,0,0.4975,0.2487,0.333,0.304,0.7875,26.92,39.94,0,1,1,1
HCP2029,Hannah,Thompson,HCO3124,US-IL-N,2025-10-15,Dermatology,Pediatric Endocrinology,Academic Medical Center,32,Academic Center,100+,1,0,0.5174,0.3473,0.8891,0.308,0.8713,64.47,68.62,1,1,1,1
HCP2030,Robert,Jackson,HCO3774,US-TX-E,2025-10-26,Dermatology,Surgical,Community Clinic,6,Hospital,25-99,1,1,0.7142,0.4875,0.7475,0.4818,0.7494,222.66,97.85,0,0,0,2
HCP2031,David,Miller,HCO3420,US-IL-N,2025-10-05,Psychiatry,Surgical,Community Clinic,4,Academic Center,10-24,0,1,0.376,0.7144,0.1386,0.3283,0.4759,223.08,107.18,1,0,1,2
HCP2032,Joseph,Wilson,HCO3357,US-TX-E,2025-10-12,Cardiology,IBD,Hospital Outpatient,2,Clinic,25-99,1,1,0.9627,0.6843,0.8842,0.3453,0.4827,281.9,11.41,0,0,0,2
HCP2033,Amanda,Williams,HCO3812,US-NY-S,2025-10-26,Pediatrics,Heart Failure,Private Practice,18,Clinic,25-99,1,0,0.9684,0.6848,0.7151,0.4073,0.134,239.0,98.51,1,0,0,4
HCP2034,John,Robinson,HCO3177,US-TX-E,2025-10-08,Psychiatry,Breast Oncology,Hospital Outpatient,27,IDN,1-3,0,0,0.2878,0.1794,0.4109,0.4471,0.5752,178.43,92.77,1,0,0,3
HCP2035,Ashley,Clark,HCO3788,US-IL-N,2025-10-25,Psychiatry,Heart Failure,Hospital Outpatient,22,Hospital,1-3,0,0,0.8584,0.4997,0.3556,0.5395,0.7388,218.56,42.08,0,0,0,4
HCP2036,Sarah,Thomas,HCO3374,US-NY-S,2025-10-07,Gastroenterology,Heart Failure,Private Practice,9,Hospital,10-24,1,0,0.6175,0.1924,0.2469,0.8676,0.7448,53.71,118.09,1,1,0,2
HCP2037,Joseph,Jones,HCO3476,US-FL-SE,2025-10-27,Family Medicine,Pediatric Endocrinology,Hospital Outpatient,27,Hospital,100+,1,0,0.7076,0.1205,0.3737,0.1639,0.4616,52.85,65.28,0,0,1,4
HCP2038,Andrew,Martin,HCO3419,US-CA-W,2025-10-22,Cardiology,Adult Psych,Integrated Delivery Network,16,Academic Center,10-24,0,1,0.7737,0.7062,0.7932,0.8596,0.5134,256.18,86.11,1,0,0,3
HCP2039,Matthew,Jackson,HCO3192,US-FL-SE,2025-10-02,Pediatrics,Adult Psych,Hospital Outpatient,14,IDN,1-3,0,0,0.3363,0.5015,0.8565,0.8442,0.5651,39.52,31.66,1,1,0,1
HCP2040,Joseph,Garcia,HCO3870,US-UT-W,2025-10-21,Oncology,Adult Psych,Academic Medical Center,22,Academic Center,25-99,0,1,0.2792,0.3244,0.145,0.396,0.7447,91.36,117.55,1,1,1,1
HCP2041,Daniel,White,HCO3424,US-TX-E,2025-10-03,Psychiatry,IBD,Private Practice,17,IDN,4-9,0,1,0.6136,0.0606,0.3011,0.869,0.3837,145.11,104.45,0,1,0,3
HCP2042,Andrew,Miller,HCO3611,US-NY-S,2025-10-16,Oncology,Surgical,Private Practice,2,Clinic,25-99,1,1,0.9125,0.4706,0.1079,0.5471,0.6917,231.46,14.1,0,0,0,4
HCP2043,Lauren,Jones,HCO3721,US-FL-SE,2025-10-22,Pediatrics,Surgical,Community Clinic,33,Physician Group,100+,0,0,0.2713,0.1149,0.3627,0.6239,0.2612,246.19,111.9,1,1,1,2
HCP2044,Megan,Wilson,HCO3513,US-UT-W,2025-10-07,Oncology,IBD,Integrated Delivery Network,17,Academic Center,25-99,0,1,0.7537,0.2438,0.1463,0.5414,0.7329,46.7,110.71,0,1,1,4
HCP2045,David,Anderson,HCO3577,US-CA-W,2025-10-26,Dermatology,Adult Psych,Academic Medical Center,22,IDN,25-99,0,1,0.8689,0.1414,0.3665,0.4848,0.1685,242.69,49.05,1,0,1,3
HCP2046,John,Jones,HCO3827,US-NY-S,2025-10-04,Oncology,Pediatric Endocrinology,Academic Medical Center,5,Academic Center,4-9,0,0,0.6872,0.2156,0.1687,0.6068,0.5728,284.2,48.57,1,1,0,5
HCP2047,Jessica,Williams,HCO3611,US-CO-W,2025-10-03,Cardiology,Heart Failure,Community Clinic,23,IDN,100+,0,0,0.2991,0.5744,0.6421,0.3243,0.1561,87.03,32.71,1,1,1,5
HCP2048,Elizabeth,Jones,HCO3035,US-WA-SW,2025-10-01,Gastroenterology,IBD,Hospital Outpatient,20,Clinic,10-24,0,0,0.6351,0.1257,0.3744,0.5846,0.8428,142.17,16.23,0,1,0,3
HCP2049,David,Miller,HCO3257,US-CO-W,2025-10-09,Cardiology,IBD,Community Clinic,35,Clinic,1-3,0,0,0.1777,0.6197,0.8488,0.5474,0.4436,259.25,103.98,0,0,0,3
